scenariusz,iteracja,udzial_ciezarowek,tau_osobowki,tau_ciezarowki,liczba_pojazdow_exit,sredni_czas_opoznienia_s,calkowity_czas_symulacji_s
Rondo,410,0.1225,2.0841,4.1841,1538.0,1934.14,9185.0
Rondo,411,0.0343,2.013,4.113,1538.0,1488.24,7672.0
Rondo,412,0.0567,2.3525,4.4525,1540.0,1731.9,8467.0
Rondo,413,0.1206,1.1822,3.2822,1540.0,1527.31,7866.0
Rondo,414,0.0345,1.406,3.506,1539.0,1207.67,6653.0
Rondo,415,0.087,2.321,4.421,1539.0,1846.79,8778.0
Rondo,416,0.1318,2.3909,4.4909,1540.0,2127.84,9690.0
Rondo,417,0.0527,1.4554,3.5554,1540.0,1317.88,7058.0
Rondo,418,0.0941,2.3411,4.4411,1543.0,1880.53,9073.0
Rondo,419,0.0703,1.0571,3.1571,1537.0,1202.73,6649.0
Rondo,420,0.1477,1.7887,3.8887,1541.0,1888.6,9070.0
Rondo,421,0.0657,1.3571,3.4571,1536.0,1367.19,7164.0
Rondo,422,0.0709,2.4658,4.5658,1536.0,1870.11,8774.0
Rondo,423,0.0654,1.7327,3.8327,1536.0,1515.23,7671.0
Rondo,424,0.0947,1.5876,3.6876,1543.0,1589.49,8164.0
Rondo,425,0.0973,1.2304,3.3304,1541.0,1461.41,7556.0
Rondo,426,0.1426,1.8036,3.9036,1536.0,1877.76,8986.0
Rondo,427,0.0498,2.4463,4.5463,1537.0,1769.17,8379.0
Rondo,428,0.0784,2.3675,4.4675,1541.0,1845.43,8770.0
Rondo,429,0.0167,1.0655,3.1655,1539.0,990.52,5646.0
Rondo,430,0.1093,1.4896,3.5896,1540.0,1623.16,8263.0
Rondo,431,0.1264,1.6361,3.7361,1540.0,1739.85,8578.0
Rondo,432,0.1112,1.7912,3.8912,1540.0,1795.73,8677.0
Rondo,433,0.0974,1.9547,4.0547,1541.0,1753.75,8572.0
Rondo,434,0.0012,1.3258,3.4258,1546.0,1045.98,5855.0
Rondo,435,0.1017,2.4252,4.5252,1539.0,2007.17,9390.0
Rondo,436,0.117,2.212,4.312,1540.0,1974.89,9186.0
Rondo,437,0.1017,1.0076,3.1076,1539.0,1402.34,7354.0
Rondo,438,0.0529,1.1751,3.2751,1541.0,1242.37,6764.0
Rondo,439,0.0896,1.2167,3.3167,1538.0,1389.55,7271.0
Rondo,440,0.0452,1.3464,3.4464,1540.0,1212.27,6651.0
Rondo,441,0.0709,2.0399,4.1399,1536.0,1680.88,8367.0
Rondo,442,0.0464,1.2384,3.3384,1538.0,1233.16,6750.0
Rondo,443,0.0734,1.595,3.695,1546.0,1500.26,7761.0
Rondo,444,0.1161,1.7855,3.8855,1541.0,1786.1,8677.0
Rondo,445,0.0905,2.2586,4.3586,1539.0,1867.95,8881.0
Rondo,446,0.0804,1.8159,3.9159,1538.0,1602.01,7965.0
